,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
0,Delaware,Kent County,Joe Biden,DEM,44552,True,10001,DE,84271,90551,37.6,174822,51.79611261740513,39.08616892823277,-75.56842231599367,blue
4,Delaware,New Castle County,Joe Biden,DEM,195034,True,10003,DE,268870,286263,38.1,555133,51.56656152669721,39.5768334366461,-75.65269158568691,blue
8,Delaware,Sussex County,Donald Trump,REP,71230,True,10005,DE,106429,113111,49.0,219540,51.52181834745376,38.660552929902394,-75.39003806326262,red
12,District of Columbia,District of Columbia,Joe Biden,DEM,39041,True,11001,,324881,359617,33.9,684498,52.537333929390606,38.904733935498726,-77.01629383836658,blue
19,Florida,Alachua County,Joe Biden,DEM,89704,True,12001,FL,127298,135850,31.3,263148,51.62494109778528,29.67474971890421,-82.3577136804271,blue
27,Florida,Baker County,Donald Trump,REP,11911,True,12003,FL,14753,13032,37.6,27785,46.90300521864315,30.331097919902273,-82.28462852125189,red
35,Florida,Bay County,Donald Trump,REP,66097,True,12005,FL,90768,91714,39.4,182482,50.25920364748304,30.26521548612463,-85.62024281873269,red
43,Florida,Bradford County,Donald Trump,REP,10334,True,12007,FL,14841,12138,40.1,26979,44.99054820415879,29.949948760193077,-82.16876766874358,red
51,Florida,Brevard County,Donald Trump,REP,207883,True,12009,FL,282023,294785,47.2,576808,51.10626066212674,28.293721855653967,-80.73227050221601,red
59,Florida,Broward County,Joe Biden,DEM,618752,True,12011,FL,929712,979439,40.1,1909151,51.302332817048,26.152322379181037,-80.48712563481989,blue
67,Florida,Calhoun County,Donald Trump,REP,5274,True,12013,FL,8048,6396,40.2,14444,44.281362503461644,30.40602254405449,-85.19719429272153,red
75,Florida,Charlotte County,Donald Trump,REP,73243,True,12015,FL,86278,90676,58.6,176954,51.24269584185721,26.90548521747582,-81.91226117367738,red
